Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
PNB.NS,A,N/A,91,123.0,122.02,0.8,2025-11-17,121.87,124.13,118.5,3.66,132.01,7.32,136.51,10.99,120.75,1.87,118.3,102.54,123.39,True,1.49,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+0.8%),In Value Area (fair price)
POLICYBZR.NS,A,N/A,85,1815.7,1796.4,1.07,2025-11-17,1785.3,1846.1,1724.5,5.02,1998.1,10.05,2089.3,15.07,1769.51,2.61,1847.16,1644.91,1850.59,True,2.05,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.1%),In Value Area (fair price)
LT.NS,A,N/A,81,4027.7,3955.0,1.84,2025-11-17,3995.24,4060.16,3893.23,3.34,4296.64,6.68,4431.11,10.02,3958.16,1.76,3729.42,3538.25,4007.98,False,0.78,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.8%),Above Value Area (showing strength)
BAJAJ-AUTO.NS,A,N/A,78,8945.5,8895.0,0.57,2025-11-17,8876.14,9014.86,8737.43,2.33,9361.64,4.65,9569.71,6.98,8901.44,0.49,8681.22,8671.23,9130.54,True,1.09,True,False,False,BULLISH,70,Grade A (good quality),Price stable (+0.6%),At VWAP (perfect entry)
PATANJALI.NS,A,N/A,76,586.9,580.77,1.06,2025-11-17,580.73,593.07,568.39,3.15,623.91,6.31,642.42,9.46,585.44,0.25,576.82,573.33,604.21,True,1.43,True,False,False,BULLISH,70,Grade A (good quality),Price stable (+1.1%),At VWAP (perfect entry)
BANKINDIA.NS,A,N/A,74,147.35,145.51,1.26,2025-11-17,145.79,148.91,136.88,7.1,168.29,14.21,178.76,21.31,139.46,5.66,140.0,117.09,146.03,False,1.38,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.3%),Above Value Area (showing strength)
CUMMINSIND.NS,A,N/A,73,4381.2,4414.2,-0.75,2025-11-17,4332.14,4430.26,4196.82,4.21,4749.96,8.42,4934.34,12.63,4294.94,2.01,4286.87,3834.72,4394.52,True,1.08,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.7%),In Value Area (fair price)
HINDPETRO.NS,A,N/A,68,486.5,487.9,-0.29,2025-11-17,480.72,492.28,455.62,6.35,548.25,12.69,579.13,19.04,467.19,4.13,436.51,378.58,489.52,True,0.91,True,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.3%),In Value Area (fair price)
LICHSGFIN.NS,A,N/A,68,571.0,571.5,-0.09,2025-11-17,566.74,575.26,558.22,2.24,596.55,4.48,609.33,6.71,575.72,-0.82,570.96,547.04,593.86,True,0.81,False,False,True,BULLISH,70,Grade A (good quality),Price stable (-0.1%),At VWAP (perfect entry)
FEDERALBNK.NS,A,N/A,66,239.06,235.89,1.34,2025-11-17,237.33,240.79,228.06,4.6,261.07,9.2,272.07,13.81,231.52,3.26,227.09,191.5,237.93,False,1.09,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.3%),Above Value Area (showing strength)
RELIANCE.NS,A,N/A,66,1518.3,1493.4,1.67,2025-11-17,1508.85,1527.75,1464.66,3.53,1625.59,7.07,1679.23,10.6,1483.55,2.34,1375.58,1355.33,1513.65,False,0.73,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.7%),Above Value Area (showing strength)
GRASIM.NS,A,N/A,65,2790.3,2775.8,0.52,2025-11-17,2763.81,2816.79,2710.84,2.85,2949.21,5.7,3028.67,8.54,2823.76,-1.18,2811.64,2699.87,2887.17,True,0.89,False,False,True,BULLISH,70,Grade A (good quality),Price stable (+0.5%),Near VWAP (good entry)
CIPLA.NS,A,N/A,65,1535.6,1514.9,1.37,2025-11-17,1524.35,1546.85,1501.84,2.2,1603.12,4.4,1636.88,6.6,1556.21,-1.32,1500.91,1498.94,1641.35,True,0.92,False,False,True,BULLISH,70,Grade A (good quality),Price stable (+1.4%),Near VWAP (good entry)
CAMS.NS,A,N/A,63,3964.3,3838.4,3.28,2025-11-17,3914.82,4013.78,3773.3,4.82,4346.31,9.64,4537.31,14.45,3872.25,2.38,3836.4,3761.39,4001.44,True,0.59,True,True,True,BULLISH,70,Grade A (good quality),Moderate gain (+3.3%),In Value Area (fair price)
APLAPOLLO.NS,A,N/A,60,1777.7,1791.0,-0.74,2025-11-17,1760.92,1794.47,1727.37,2.83,1878.35,5.66,1928.68,8.49,1787.39,-0.54,1689.15,1657.04,1805.24,True,0.57,False,True,True,BULLISH,70,Grade A (good quality),Price stable (-0.7%),At VWAP (perfect entry)
ASHOKLEY.NS,A,N/A,60,148.45,146.04,1.65,2025-11-17,146.68,150.22,139.79,5.83,165.77,11.67,174.44,17.5,143.33,3.57,142.37,130.18,150.77,True,0.42,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.7%),In Value Area (fair price)
ICICIPRULI.NS,A,N/A,60,630.6,624.7,0.94,2025-11-17,625.54,635.66,598.39,5.11,695.02,10.22,727.23,15.32,608.51,3.63,600.79,587.51,633.05,True,0.37,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+0.9%),In Value Area (fair price)
